book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
31;1;Marcel;1;1;3;1;3;3;1;econoom
31;2;Gustaaf;1;1;3;1;3;6;2;fabrieksmedewerker
31;3;Werner;1;1;3;1;99;99;1;fysiotherapeut
31;4;moeder;2;1;3;1;3;99;2;typist
31;5;Hedwig;2;1;3;1;3;6;2;huisvrouw
31;6;Rick;1;1;99;1;99;99;1;dokter
32;1;Isis;2;1;99;1;2;1;99;scholier
32;2;Galya;2;1;99;1;2;1;99;scholier
32;3;Boma;2;1;99;1;2;6;99;99
32;4;Martijn;1;1;99;1;2;1;99;scholier
32;5;Marjon;2;1;99;1;2;99;99;werkloos
32;6;Chokri;1;5;99;1;99;4;99;eigenaar manege
32;7;Blok;1;1;99;1;99;99;1;psychiater
32;8;Uncle Poe;1;99;99;99;99;4;99;99
33;1;Martin;1;1;99;1;1;3;1;rechercheur
33;2;Esther;2;1;99;1;2;99;1;rechercheur
33;3;Gaby;2;1;99;1;99;99;1;verpleger
33;4;Van Veenstra;2;1;99;1;2;99;2;crimineel
33;5;moeder;2;1;99;1;99;6;99;99
33;6;Kirstin;2;1;99;1;99;1;99;wielrenner
33;7;Bakels;1;1;99;1;99;99;99;rechercheur
33;8;Mats;1;3;99;1;99;1;99;99
34;1;Hanel;2;3;7;3;7;6;1;kunstenaar
34;2;Olga;2;99;99;3;7;2;2;dierenpornomedewerker
34;3;Harald;1;3;99;3;7;6;1;kunstenaar
34;4;Marcel;1;99;99;2;5;3;1;eigenaar café
34;5;Anthony;1;2;99;2;99;4;1;notaris
34;6;Gisele;2;99;99;2;99;99;1;modeontwerper
34;7;Hugo;1;99;99;2;99;5;1;pastoor/directeur
34;8;Otto;1;99;99;99;99;99;99;kunstenaar
35;1;Johannes;1;1;99;99;1;3;1;pater
35;2;Clemens;1;1;3;1;1;3;1;pater
35;3;Ella;2;1;3;1;1;3;1;arts
35;4;Vincent;1;1;3;1;1;3;2;99
35;5;Pim;1;99;99;1;1;3;99;priesterstudent
35;6;Angelena;2;1;3;1;1;3;99;99
35;7;Van Summeren;1;99;99;1;1;3;1;pastoor
35;8;Van der Zee;2;99;99;1;1;99;1;pastoor
36;1;Nico;1;1;99;1;1;5;1;dichter/student
36;2;Klaas;1;1;99;1;1;6;2;automonteur/antiekhandelaar/plantensorteerder
36;3;Nel;2;1;99;1;1;6;2;hulp stomerij
36;4;Orlanda;2;1;99;1;2;99;1;verpleger
36;5;Stefan;1;1;99;1;1;4;99;99
36;6;Bas;1;1;99;1;1;4;99;99
36;7;Ger;1;1;99;1;99;6;99;bassist
36;8;Elly;2;1;99;1;99;99;99;99
36;9;Wim;1;1;99;1;1;6;99;eigenaar verhuisbedrijf
36;10;Marlon;2;1;99;1;1;1;99;99
36;11;Cor;1;1;99;3;6;6;99;99
